,Reviews
0,"Incredibly slow rude! About month ago I went Ling Louies take out. The order 25 minutes overdue, I simply asked much longer would be, bartender said rudely problem. She never check order, I got idea I ignored, another 25 minutes I simply left. I decided I would give another chance tonight, I went pick order time supposed ready, wasnt ready, I waited another 25 minutes. I asked bartender much longer would be, said I dont know, indication going find out. I asked minutes later much longer would be, pointed Ive waiting long time. She said I could talk manager I wanted, solution offered, I said yes Id like talk manager much. At point spent next 10 minutes waiting customers one task another informing manager I waiting speak him. Unbelievable!!! I finally walked again. Thats last time I walk ridiculously rude restaurant."
1,"Eaten times I recall. Food, Service, Atmosphere always 1010. Highly recommend calamari evil jungle princess beef. However one restaurants want try everything menu."
2,"The food great friendly staff. Ling Louies everything going except feeling Asian restaurant mix Southwestern influences...Nothing wrong that..just plain Asian.. There couple great choices menu especially Evil Jungle Princess chicken rice soup, appetizers downright killers sch chicken lettuce cups chicken skewers. . A word Houston; bartender...that guy bad ass every sense words...its there...He cordial, warm, friendly, fuzzy, extremely kind real pro..I cant say enough nice things even bartenders cannot measure him... My first review Ling Louies little harsh first experiences since consistently excellent. The management top notch never afraid criticism make it... Upgrading review four stars Yay Im fan yes deserve it..."
3,"Ling Louie, hmmm, Im bit hard time define place. The menu serves wide range Asian foods, Chinese, Japanese, Korean, Thai Vietnamese first glance dishes names, full bar, Happy Hour menu Asian fusion flatbread tacos, made confused, place serves many kinds Asian food nothing specialized Just put description asian sauce, makes taco Chinese Then interesting looking clock wall next kitchen, clock consists 12 top normal, rest numbers replace 5, made start singing, five oclock somewhere, lets drink! So yeah, bar many kinds Asian fusion foods. Do come craving authentic asian cuisine, mistake, yeah..."
4,"Last Sunday first time Asian Grill. All beef dishes made Filet Mignon. My 81 year young Mother ordered Mongolian beef zero complaints! What wonderful concept use tender beef since sliced thin Asian recipes. The entrees served rice instead side. If used rice side accommodate request ordering. For appetizers, spicy calamari hit group five. This served best tasting chili asian slaw. It hit middle schooler too. So Siamese spring rolls served sweet chili sauce. One order appetizers plenty share around table. The miso soup first dark, mild fishy broth...not favorite...must acquired taste. The Sizzling Blackened Chicken Pork cooked red curry butter mild flavor. The meat tender. Try wasabi mashed potatoes extra side dish...yum! The Buddhas Feast Chicken favorite. The menu states hint Thai basil though sauce powered much basil. For lighter diners try combo Ling Chicken Rice soup served Chopstick Chicken salad. The salad dressing sesame soy vinaigrette. We certainly enjoyed food return Ling Louies."
5,"Great food two favorites far Evil Jungle Princess w fillet Mignon noodles sizzling blackened chicken pork. The flavor unreal know doing. Everyone comments real Chinese food I telling better. Dont waste time money Flos Jade, I eaten three many times Ling hands better tasting food."
6,"Always great food service. Bar staff fantastic. I love restaurant. I would recommend havent tried before, stop by!"
7,"Had dinner last week friends recommendation others condo. Nice outdoor patio. Lettuce wraps sushi roll appetizers. Food good well service. Will back next time happy hour! 5 apps along beer, wine cocktail specials. For dinner pad Thai, surf turf, salmon chicken cashew stir fry. I asked chicken stir fry little spicy...it lot spicy, careful request! Others said meals good comments appetizers best! I agree!"
8,Great service fun menu! Our waitress made favorite suggestions appreciated first visit there. Its must try!!
9,"Im grading authenticity... taste value. As Scottsdale das developed evolved hipper cooler places moved north. After several places closed 2008 2010, good food getting harder harder find 85259. LLs great tasting food, love Mongolian beef flatbread Honey Walnut Chicken. The service excellent location great. Adequate parking far 101 buried around 90th 92nd St. And Carol, meatloaf probably menu kids adults choose something safe sounding... dont think fair grade meatloaf... I dont critic meatloaf even 3 stars Asianfusionwhateveritis menu! For full menu go httpscottsdale.lingandlouies.comwpcontentthemesWPThemeLandLScottsdaleimagesmenudinner.pdf"
10,"Fun place, great HH prices, Ashley awesome bartender. It close closing time made sure everyone taken care of. She wasnt concerned trying rush everyone along could go home. We definitely back."
11,"A great classic local place top service consistently great food ... If offered Beefeaters would perfect, five stars nonthe less..."
12,I remember really good even though prices little high. I asked suggest restaurant family get together town relatives. We agreed LL. Reservations made. When showed place closed note saying decided close Superbowl Sunday. Not nice cousins showing parts valley town. They contact number. Why accept reservation contact inform us would closed Bad business.
13,"I dined Ling Louies Friday night. The place mobbed I wait 12 hour deuce open up. They seat people call say theyll right first seat live body walkins. Now I know lay land Ill prepared next time. There next time food service rocks. Its hard believe restaurant 3 12 stars Yelp given people showed past Friday. My wife I started rice chicken soup. What surprised hardly rice soup plenty chicken. The soup peppery plus another spice I couldnt put finger on. So soup solid 2.5 3 stars. Now main course, I ordered Kung Pow Beef wife Thai Pad. The Kung Pow Beef consisted filet minon, broccoli, green onions, bell peppers hot peppers rice. I definitely enjoyed dish. My plate piled high delicious food flavorable spicy kick it. I would definitely order dish subsequent visits. My wife enjoyed Thai Pad definitely happy plenty leftovers subsequent lunches. Again, generous portions entree. I cant wait try rest menu, place definitely head shoulders competitors Flos PF Chang food definitely tastes better."
14,Went lunch BBQ Chicken Flatbread delicious! Everyone table enjoyed food I would return try menu
15,"This favorite restaurant Scottsdale. The food exceptionally good fresh full strong flavor. I describe cuisine Americanized Asian food. I like offer option brown rice meals, substitute meats tofu like that. The Evil Jungle Princess absolute favorite. A sweet spicy peanut sauce top chicken, mushrooms, onions, crispy fresh green beens cooked right amount snap bite them. I also love Wango Mango chicken big chunks mango. Everyone always loves New Wave Pad Thai. The Teriyaki Salmon cooked perfection, top bed wasabi mashed potatoes green beens. The Firecracker chicken tastes like wing sauce, like wing sauce like this. Otherwise might want pass. The best part restaurant kids meals. They serve Bento Box, little square compartments portion meal. Its great value comes main dish either noodles chicken wonton chicken, edamame, fried wontons sweet sour sauce, whole large bag MMs, waiter smart enough secretly hand side instead serving rest meal."
16,"I enjoy Asian fusion, disappointing. First, wait 25 minutes seated. Which would fine worth wait... Started cocktali highly recommended waitress. Shanghai Tea something like It nothing special. We ordered Edamame start, never came. I guess someone forgot. Very unfortunately considering hungry were. I orange chicken, okay. It salty,didnt really taste like orange chicken much salt chicken... I wouldnt get again. My husband got Evil Jungle Princess Chicken didnt seem blown away it. I tasted flavorful. Dessert probably best part. We got banana spring roll, pretty tasty. I dont think bother going back."
17,"Loved it! Half expected lame PF Chang wannabe surprised excellent fun was! Specials terrific cheap, bartender Paul made us better drinks Ive town."
18,Worse pei Wei. Thats saying lot. I awhile tried Ling Louies hoping would different. Nope. Food came like mush bland. The honey Walnut shrimp like honey Walmart shrimp. Tastes like microwaved. I two bites wifes evil princess whatever spit out. Even crab rangoons oily. Never again. And comparison sake worse last time.
19,"The first time I ate here, I Firecracker Chicken Tacos Ive addicted ever since. Its I always get. Im usually spicy food, right little spicy, spicy I cant stand it. I think Bleu Cheese gives unique flavor taco, around things good. I also love crab puffs... real crab tons cheese! So, yum! I wish theyd bring back duck flat bread... thing really delicious too. If eat in, prepared I never, ever seen restaurant quiet empty, except right open. Otherwise, hopping theres usually quite people waiting tables... totally worth it. Their outside seating really nice, heaters brief times gets slightly chilly D"
20,"Had dinner yesterday. The staff nice! Houston, Steve, Tanner food consistent always fresh! The Thai Mai killer, still want fav spiced Rum Sailor Jerrys! This great place happy hour, hour! And bring friends!!!!"
21,Food Just another Pei Wei. This chinese food drowned salty sauce. Service friendly one waiter Sunday couldnt keep up.
22,"I love place. Their service friendly everything Ive tried menu last 2.5 years great. The calamari appetizer, half price happy hour, best calamari country. And airline pilot husband I traveled eaten whole lot last 30 years. Our college student son likes food well. The Asian fusion cuisine works. Youll love it."
23,"Best Asian restaurant Scottsdale!! The food spectacular, service ALWAYS point!! My wife I go least week, always wonderful experience!! If havent yet...youd fool check out!! Ask Marcus...hes best! Although whole staff really good!"
24,"Well, one ratings I wish I could give extra 12 star on, 2star deceiving. This place well decorated, personality servers friendly. The problem food. I dont really care good service is, fun atmosphere is, restaurant doesnt good food, categories dont matter. The Pomegranate tea I tasted watered down, Firecracker chicken I highly recommended waitress tasted lot like frozen dinner mildly overdone rice. The sauce bland, chicken dry tasteless. It might pass somebody unfamiliar Asian food. I pretty surprised, shrimp appetizer VERY tasty. Too bad. I dont expect Ill back unless coworkers outnumber me."
25,This place nice. maybe little pricey good time. I recommend it.
26,A great spot Happy Hour! You cant go wrong Tai Mai many Cocktail specials! They also fun apps pair dinner.
